order	dataset_id	cluster_id	cluster_name	sample_id	gene_symbol	entrez_geneid	FBgn	avg_logFC	pct1	pct2	p_value	padj	other_value	other_value_type	rank	source_gene_info	rank_text
1663926	98	1	CAH7+ plasmatocyte	all	CG3940	41238	FBgn0037788	1.94	0.81	0.12	0.00	0.00	NULL	NULL	NULL	gene symbol	top10
1663927	98	1	CAH7+ plasmatocyte	all	Ten-a	32183	FBgn0267001	0.90	0.67	0.17	9.16e-167	7.14e-163	NULL	NULL	NULL	gene symbol	top10
1663928	98	1	CAH7+ plasmatocyte	all	NimC2	34818	FBgn0028939	0.87	0.61	0.12	7.78e-168	6.07e-164	NULL	NULL	NULL	gene symbol	top10
1663929	98	1	CAH7+ plasmatocyte	all	lea	39864	FBgn0063485	0.81	0.71	0.25	1.33e-133	1.04e-129	NULL	NULL	NULL	gene symbol	top10
1663930	98	1	CAH7+ plasmatocyte	all	LpR2	43105	FBgn0051092	0.76	0.60	0.16	6.73e-131	5.25e-127	NULL	NULL	NULL	gene symbol	top10
1663931	98	1	CAH7+ plasmatocyte	all	Irk1	42742	FBgn0265042	0.75	0.86	0.43	3.49e-126	2.72e-122	NULL	NULL	NULL	gene symbol	top50
1663932	98	1	CAH7+ plasmatocyte	all	CG9338	35357	FBgn0032899	1.26	0.48	0.06	7.3e-177	5.69e-173	NULL	NULL	NULL	gene symbol	top10
1663933	98	1	CAH7+ plasmatocyte	all	Dyrk2	34831	FBgn0016930	0.71	0.58	0.17	2.69e-120	2.1e-116	NULL	NULL	NULL	gene symbol	top50
1663934	98	1	CAH7+ plasmatocyte	all	miple2	44787	FBgn0029002	0.76	0.90	0.51	5.42e-122	4.22e-118	NULL	NULL	NULL	gene symbol	top50
1663935	98	1	CAH7+ plasmatocyte	all	Eip93F	44936	FBgn0264490	0.60	0.77	0.39	6.98e-88	5.44e-84	NULL	NULL	NULL	gene symbol	top50
1663936	98	1	CAH7+ plasmatocyte	all	CG5399	41900	FBgn0038353	1.37	0.99	0.62	9.49e-230	7.4e-226	NULL	NULL	NULL	gene symbol	top10
1663937	98	1	CAH7+ plasmatocyte	all	CG13384	34160	FBgn0032036	0.95	0.95	0.59	5.13e-165	4.0e-161	NULL	NULL	NULL	gene symbol	top10
1663938	98	1	CAH7+ plasmatocyte	all	CG13321	36430	FBgn0033787	0.68	0.58	0.23	5.88e-83	4.58e-79	NULL	NULL	NULL	gene symbol	top50
1663939	98	1	CAH7+ plasmatocyte	all	CG44250	19836034	FBgn0265185	0.84	0.91	0.57	2.79e-127	2.17e-123	NULL	NULL	NULL	gene symbol	top10
1663940	98	1	CAH7+ plasmatocyte	all	CG43446	12798498	FBgn0263400	0.52	0.71	0.37	1.23e-64	9.61e-61	NULL	NULL	NULL	gene symbol	top50
1663941	98	1	CAH7+ plasmatocyte	all	mbc	42817	FBgn0015513	0.50	0.58	0.25	5.75e-64	4.48e-60	NULL	NULL	NULL	gene symbol	top50
1663942	98	1	CAH7+ plasmatocyte	all	CREG	42092	FBgn0025456	0.56	0.55	0.22	1.81e-67	1.41e-63	NULL	NULL	NULL	gene symbol	top50
1663943	98	1	CAH7+ plasmatocyte	all	Mmp2	35997	FBgn0033438	0.53	0.70	0.38	4.86e-64	3.79e-60	NULL	NULL	NULL	gene symbol	top50
1663944	98	1	CAH7+ plasmatocyte	all	CG8539	38842	FBgn0035791	0.60	0.37	0.05	2.97e-125	2.31e-121	NULL	NULL	NULL	gene symbol	top50
1663945	98	1	CAH7+ plasmatocyte	all	bif	32119	FBgn0014133	0.60	0.86	0.54	2.88e-90	2.24e-86	NULL	NULL	NULL	gene symbol	top50
1663946	98	1	CAH7+ plasmatocyte	all	CG34232	5740195	FBgn0085261	0.63	0.83	0.51	3.01e-80	2.34e-76	NULL	NULL	NULL	gene symbol	top50
1663947	98	1	CAH7+ plasmatocyte	all	Jabba	37164	FBgn0259682	0.48	0.80	0.49	1.81e-56	1.41e-52	NULL	NULL	NULL	gene symbol	top50
1663948	98	1	CAH7+ plasmatocyte	all	Snp	37511	FBgn0265192	0.43	0.69	0.38	4.09e-49	3.19e-45	NULL	NULL	NULL	gene symbol	top100
1663949	98	1	CAH7+ plasmatocyte	all	Sema-1a	34192	FBgn0011259	0.50	0.38	0.08	5.71e-92	4.45e-88	NULL	NULL	NULL	gene symbol	top50
1663950	98	1	CAH7+ plasmatocyte	all	CG32982	34237	FBgn0052982	0.50	0.63	0.33	5.51e-55	4.3e-51	NULL	NULL	NULL	gene symbol	top50
1663951	98	1	CAH7+ plasmatocyte	all	CG34253	5740501	FBgn0085282	0.46	0.51	0.21	1.27e-58	9.9e-55	NULL	NULL	NULL	gene symbol	top100
1663952	98	1	CAH7+ plasmatocyte	all	Sur-8	42093	FBgn0038504	0.75	0.95	0.66	9.64e-138	7.52e-134	NULL	NULL	NULL	gene symbol	top50
1663953	98	1	CAH7+ plasmatocyte	all	CG4822	33170	FBgn0031220	0.47	0.43	0.15	2.54e-60	1.98e-56	NULL	NULL	NULL	gene symbol	top50
1663954	98	1	CAH7+ plasmatocyte	all	HDAC4	32278	FBgn0041210	0.56	0.84	0.56	7.16e-73	5.58e-69	NULL	NULL	NULL	gene symbol	top50
1663955	98	1	CAH7+ plasmatocyte	all	mthl10	38057	FBgn0035132	0.43	0.53	0.25	3.8e-49	2.96e-45	NULL	NULL	NULL	gene symbol	top100
1663956	98	1	CAH7+ plasmatocyte	all	Arf51F	36699	FBgn0013750	0.56	0.87	0.60	1.49e-81	1.16e-77	NULL	NULL	NULL	gene symbol	top50
