"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.60932258188436e-172,-2.25260891233248,0.093,0.258,2.71160802709423e-168,"PM1","CecC"
5.65733185702773e-168,-1.61303480295532,0.187,0.38,5.87909926582322e-164,"PM1","Mmp1"
2.01021988091925e-166,-1.24148819732644,0.097,0.274,2.08902050025128e-162,"PM1","Glut4EF"
3.18166941622246e-158,-1.75471419586658,0.103,0.271,3.30639085733839e-154,"PM1","CG33225"
1.01263495617429e-157,-0.853759275392133,0.161,0.36,1.05233024645632e-153,"PM1","loco"
3.41350503888105e-150,-0.642341543128038,0.465,0.709,3.54731443640519e-146,"PM1","CG13117"
1.51734997335666e-148,-0.811153483743352,0.111,0.286,1.57683009231224e-144,"PM1","Gprk2"
1.20961917911932e-142,-2.18956929421267,0.077,0.223,1.2570362509408e-138,"PM1","CG15784"
1.05969087387573e-139,-1.68621059493089,0.057,0.193,1.10123075613166e-135,"PM1","CG31219"
8.47571342584538e-138,-0.703655584896336,0.322,0.558,8.80796139213852e-134,"PM1","mys"
3.46011363806099e-136,-0.783944000405683,0.122,0.295,3.59575009267298e-132,"PM1","capu"
1.98204307377619e-135,-1.39314772727824,0.141,0.309,2.05973916226821e-131,"PM1","CG43175"
9.68863701634897e-134,-0.535730107217985,0.289,0.517,1.00684315873898e-129,"PM1","Fim"
4.95466231077093e-133,-0.599606946194097,0.142,0.323,5.14888507335315e-129,"PM1","ZnT63C"
5.07600033728642e-133,-0.868144443729613,0.11,0.272,5.27497955050805e-129,"PM1","CG12112"
2.76839472027364e-131,-1.14581339614385,0.07,0.209,2.87691579330837e-127,"PM1","prage"
3.29351360199098e-128,0.386602564130301,1,1,3.42261933518903e-124,"PM1","mt:lrRNA"
3.82659777883896e-127,-0.509303045852297,0.392,0.639,3.97660041176944e-123,"PM1","cl"
5.41789040778575e-125,-0.97003637189801,0.419,0.625,5.63027171177095e-121,"PM1","Arc1"
2.43350545063858e-123,-0.52824846194555,0.172,0.359,2.52889886430361e-119,"PM1","Pfdn1"
1.24709327802832e-122,-0.603982400168707,0.117,0.28,1.29597933452703e-118,"PM1","CG31523"
4.94938007094804e-122,-2.61540039217144,0.027,0.13,5.1433957697292e-118,"PM1","CecA1"
6.27008167664202e-121,-0.413759788393211,0.254,0.477,6.51586887836639e-117,"PM1","CG32267"
5.04348234806224e-118,-0.431597060364163,0.304,0.533,5.24118685610628e-114,"PM1","ifc"
6.86097460629876e-116,-2.28346187604554,0.048,0.16,7.12992481086567e-112,"PM1","CecA2"
3.74417739034964e-115,-2.69522581463356,0.178,0.35,3.89094914405135e-111,"PM1","MtnA"
1.92347507216729e-114,-1.67232479897506,0.045,0.156,1.99887529499625e-110,"PM1","tx"
3.01316204589882e-114,-1.26875102881726,0.056,0.176,3.13127799809806e-110,"PM1","Ac78C"
7.16156205974261e-114,-1.13358559224751,0.065,0.19,7.44229529248452e-110,"PM1","chn"
1.69304459430591e-113,0.332993325683215,0.973,0.959,1.7594119424027e-109,"PM1","regucalcin"
3.20795262229304e-113,-1.95202965333831,0.145,0.291,3.33370436508692e-109,"PM1","CG15347"
1.18744809191703e-112,-0.595691273128319,0.146,0.31,1.23399605712017e-108,"PM1","RhoGAP18B"
4.73532123969273e-112,-0.378612145620304,0.213,0.416,4.92094583228868e-108,"PM1","Pfdn6"
5.0311934875139e-112,-0.79540362817704,0.119,0.267,5.22841627222445e-108,"PM1","Gclc"
2.42349093633082e-110,-0.435582982460776,0.195,0.381,2.51849178103499e-106,"PM1","ghi"
8.11909044474461e-110,-0.707002681268822,0.08,0.214,8.43735879017859e-106,"PM1","Pmp70"
9.36166284542174e-109,-0.506297080617383,0.178,0.354,9.72864002896227e-105,"PM1","Diap1"
1.08095775956171e-108,-0.594212758510505,0.177,0.349,1.12333130373653e-104,"PM1","CG32066"
4.80970676689287e-108,-0.509948873105894,0.169,0.34,4.99824727215507e-104,"PM1","Mob2"
3.0576101079679e-107,-0.440917068871091,0.561,0.789,3.17746842420024e-103,"PM1","Syb"
1.50880773785151e-106,-0.49268859099326,0.126,0.28,1.56795300117529e-102,"PM1","drongo"
2.34455286253412e-106,-0.366256068727583,0.22,0.415,2.43645933474546e-102,"PM1","Galphai"
1.26038676584779e-104,-0.449897664011015,0.222,0.413,1.30979392706902e-100,"PM1","La"
1.89079789010086e-103,-0.323254364785606,0.221,0.42,1.96491716739281e-99,"PM1","Rpb12"
2.02895339614327e-103,-0.411513534925336,0.161,0.329,2.10848836927209e-99,"PM1","CG13096"
2.91917417375329e-103,-0.7402133863881,0.221,0.395,3.03360580136442e-99,"PM1","CG9932"
7.87275457158055e-103,-0.647043302071335,0.076,0.202,8.18136655078651e-99,"PM1","Vinc"
8.28758154633216e-103,-0.958662684352158,0.095,0.225,8.61245474294838e-99,"PM1","Arc2"
1.52572562445391e-102,-0.347765402904934,0.19,0.371,1.58553406893251e-98,"PM1","CG4511"
8.4423183225605e-102,-0.984293053552709,0.063,0.178,8.77325720080487e-98,"PM1","Gdap2"
3.86411359285402e-101,-0.402859991546426,0.223,0.41,4.01558684569389e-97,"PM1","Hsp27"
3.95204716235989e-101,-0.612281157834226,0.229,0.424,4.1069674111244e-97,"PM1","shot"
9.26351254828097e-101,-0.421478009907326,0.247,0.448,9.62664224017358e-97,"PM1","rhea"
2.41884985948439e-100,-0.324162064339997,0.246,0.448,2.51366877397618e-96,"PM1","Rpb10"
2.7530212605184e-100,-0.85503188723246,0.07,0.19,2.86093969393072e-96,"PM1","mew"
1.62867185208907e-99,-0.456807048318524,0.117,0.262,1.69251578869097e-95,"PM1","Pfdn4"
2.04938073165814e-99,-1.17896157591849,0.067,0.182,2.12971645633914e-95,"PM1","rgn"
2.6825718723516e-99,-0.689980533252357,0.095,0.226,2.78772868974778e-95,"PM1","Alh"
3.9904125365295e-99,-0.405735988150517,0.22,0.406,4.14683670796145e-95,"PM1","Myo31DF"
4.13252574326616e-99,-0.292365645547535,0.343,0.576,4.29452075240219e-95,"PM1","Droj2"
1.00956947267435e-98,-0.299448542167219,0.203,0.387,1.04914459600319e-94,"PM1","Arpc4"
1.63705761848196e-98,-0.39442448807897,0.192,0.366,1.70123027712645e-94,"PM1","tacc"
1.70264036158383e-98,-1.09775735301864,0.051,0.157,1.76938386375792e-94,"PM1","NK7.1"
2.25620567724159e-98,-0.385959892034983,0.146,0.305,2.34464893978946e-94,"PM1","TBCB"
9.4461213909244e-98,-0.440113826258956,0.587,0.799,9.81640934944863e-94,"PM1","CG33494"
1.86990504207986e-97,-0.300910974365142,0.23,0.425,1.9432053197294e-93,"PM1","HSPC300"
2.25282075830853e-97,-0.814041907838076,0.071,0.188,2.34113133203423e-93,"PM1","CG32264"
1.0178022615813e-96,-1.49041160179748,0.035,0.128,1.05770011023529e-92,"PM1","spir"
2.47897716508444e-96,-0.575662214146729,0.24,0.408,2.57615306995575e-92,"PM1","LamC"
3.70351234703794e-96,-0.270243399467926,0.195,0.376,3.84869003104183e-92,"PM1","AGO2"
7.1973289285659e-96,-0.309710728411734,0.359,0.582,7.47946422256568e-92,"PM1","Akap200"
7.33396970009336e-96,-1.11248123195159,0.06,0.169,7.62146131233702e-92,"PM1","CAP"
1.0307288372499e-95,-0.337800289089617,0.446,0.676,1.07113340767009e-91,"PM1","CG1943"
1.11094660942167e-95,-0.485786963590891,0.152,0.303,1.154495716511e-91,"PM1","CG5346"
1.12483709236018e-95,-4.36865475071114,0.029,0.116,1.1689307063807e-91,"PM1","betaTub60D"
1.37425489652577e-95,-0.279442076705693,0.203,0.387,1.42812568846958e-91,"PM1","alphaSnap"
1.4531808059428e-95,-0.397430062209359,0.496,0.727,1.51014549353576e-91,"PM1","Rac2"
1.91369694172557e-95,-0.251166380383616,0.195,0.375,1.98871386184121e-91,"PM1","Ubc6"
2.26982472665369e-95,-0.542243672646668,0.278,0.452,2.35880185593852e-91,"PM1","Rel"
3.67250525614662e-95,-0.417541313351409,0.13,0.277,3.81646746218756e-91,"PM1","Rap2l"
5.07925818321581e-95,-0.419958982726605,0.123,0.268,5.27836510399787e-91,"PM1","CG9065"
6.20170640027356e-95,-0.308809493300795,0.349,0.567,6.44481329116428e-91,"PM1","CG13364"
8.24610609385522e-95,-0.33613557864697,0.212,0.395,8.56935345273435e-91,"PM1","eIF5"
2.77372068337256e-94,-0.511607279150863,0.108,0.243,2.88245053416077e-90,"PM1","Su(dx)"
6.88875256182478e-94,-0.394297792273092,0.222,0.402,7.15879166224831e-90,"PM1","CG11791"
1.25483127605379e-93,-0.705925461488604,0.072,0.187,1.3040206620751e-89,"PM1","CG14907"
1.80426715997519e-93,-0.24746741011299,0.154,0.315,1.87499443264622e-89,"PM1","Ilk"
1.8756096315384e-93,-0.727437769682703,0.105,0.233,1.94913352909471e-89,"PM1","CG5953"
3.16005732280963e-93,-0.26911485726636,0.239,0.432,3.28393156986376e-89,"PM1","Pfdn5"
5.75196252465592e-93,-0.330103932778947,0.15,0.306,5.97743945562244e-89,"PM1","mRpS21"
1.03762894910879e-92,-0.269982466865511,0.197,0.374,1.07830400391386e-88,"PM1","viaf"
1.3659257590957e-92,-0.319965834921646,0.283,0.485,1.41947004885226e-88,"PM1","CG11357"
3.57535189290416e-92,-0.305284894059978,0.166,0.329,3.715505687106e-88,"PM1","Arpc3A"
1.31435096306922e-91,-3.62654575026624,0.006,0.072,1.36587352082153e-87,"PM1","lncRNA:CR44430"
1.59077867774061e-91,-0.337498729283251,0.138,0.286,1.65313720190804e-87,"PM1","CG17776"
2.41154799430743e-91,-1.29207390010052,0.036,0.128,2.50608067568429e-87,"PM1","Pvf2"
2.76165716172441e-91,-0.251681103691023,0.248,0.445,2.86991412246401e-87,"PM1","CG13751"
3.25678688079223e-91,-0.341534085565032,0.116,0.255,3.38445292651929e-87,"PM1","TSG101"
3.26812811674095e-91,-0.350733072603853,0.293,0.498,3.39623873891719e-87,"PM1","Syx1A"
4.10709152341049e-91,-0.326525028506394,0.134,0.283,4.26808951112818e-87,"PM1","CG2076"
9.81399928756232e-91,-0.698846611315437,0.143,0.282,1.01987080596348e-86,"PM1","Hsp70Bc"
1.1816885501663e-90,-2.80196319680197,0.011,0.081,1.22801074133282e-86,"PM1","CG16710"
1.31815964265836e-90,-0.364714057710051,0.117,0.256,1.36983150065057e-86,"PM1","mgr"
2.25682439034145e-90,-0.247782235923424,0.285,0.496,2.34529190644284e-86,"PM1","mbf1"
4.26494071997907e-90,-0.528208003355673,0.162,0.312,4.43212639620225e-86,"PM1","cact"
4.52081493905075e-90,-0.415384669228281,0.098,0.227,4.69803088466154e-86,"PM1","Tim9a"
4.76306715499954e-90,-0.498015242184039,0.127,0.268,4.94977938747552e-86,"PM1","C3G"
5.66104054937338e-90,-0.656042070515578,0.211,0.376,5.88295333890881e-86,"PM1","CG43236"
9.32066484954957e-90,-0.293261739457921,0.375,0.606,9.68603491165191e-86,"PM1","Ubi-p5E"
2.07009486219317e-89,-2.28213130741247,0.027,0.11,2.15124258079114e-85,"PM1","CecB"
2.27986238764913e-89,-0.283364789956752,0.225,0.408,2.36923299324498e-85,"PM1","CG1703"
2.30563868640256e-89,-0.31161099587193,0.245,0.433,2.39601972290954e-85,"PM1","spin"
4.1991716867013e-89,-0.261438722148178,0.154,0.31,4.36377921681999e-85,"PM1","Vta1"
4.43802987415586e-89,-0.272536665168076,0.233,0.42,4.61200064522277e-85,"PM1","CG5446"
4.91826834982566e-89,-0.391238547472237,0.099,0.227,5.11106446913883e-85,"PM1","CG9586"
5.44536157382727e-89,-0.35343446329917,0.122,0.261,5.6588197475213e-85,"PM1","chb"
6.48213044242475e-89,-0.411805704004114,0.129,0.269,6.7362299557678e-85,"PM1","stck"
6.53062774479671e-89,-0.557807761614187,0.122,0.257,6.78662835239274e-85,"PM1","twf"
9.19425121990519e-89,-0.252840562448872,0.232,0.419,9.55466586772547e-85,"PM1","CG33170"
9.32137368475794e-89,-0.299473990036337,0.274,0.474,9.68677153320045e-85,"PM1","Ubi-p63E"
1.42733471578961e-88,-0.435473424737319,0.115,0.248,1.48328623664857e-84,"PM1","CG5004"
1.73570271869503e-88,-0.350948513859961,0.205,0.375,1.80374226526787e-84,"PM1","bin3"
1.76391713913536e-88,-0.473013721334848,0.122,0.258,1.83306269098947e-84,"PM1","vari"
2.08089452897673e-88,-0.299581955167843,0.269,0.466,2.16246559451262e-84,"PM1","IscU"
7.08884722258457e-88,-1.05242761895615,0.109,0.227,7.36673003370989e-84,"PM1","CG3348"
7.20685870931309e-88,-0.698131799712287,0.095,0.217,7.48936757071816e-84,"PM1","path"
8.20096199420932e-88,-0.566399081656909,0.173,0.333,8.52243970438233e-84,"PM1","CG10602"
1.42342224792548e-87,-0.42909820942414,0.102,0.229,1.47922040004416e-83,"PM1","RhoGEF3"
2.06691914008648e-87,-0.258497694153238,0.163,0.321,2.14794237037787e-83,"PM1","Opa1"
3.22582307649453e-87,-0.299165908917769,0.251,0.439,3.35227534109311e-83,"PM1","RhoGAP71E"
4.94533241652159e-87,-0.143034986437453,0.152,0.307,5.13918944724924e-83,"PM1","ALiX"
6.60487714695184e-87,-0.292514059975035,0.212,0.384,6.86378833111236e-83,"PM1","CG9922"
7.81890080352842e-87,-0.310854212127227,0.362,0.574,8.12540171502673e-83,"PM1","Baldspot"
1.07385753551617e-86,-0.391891515048724,0.13,0.27,1.11595275090841e-82,"PM1","eIF6"
1.81611935551353e-86,-0.358964138300742,0.309,0.507,1.88731123424966e-82,"PM1","shrb"
6.1347936619911e-86,-0.577361389630339,0.067,0.175,6.37527757354116e-82,"PM1","LRR"
6.44447704768365e-86,-0.311224948051944,0.221,0.398,6.69710054795285e-82,"PM1","Ssrp"
6.46259541319084e-86,-0.319962930448909,0.13,0.271,6.71592915338792e-82,"PM1","Nc73EF"
8.65596897717994e-86,-0.517229834965099,0.32,0.509,8.9952829610854e-82,"PM1","mthl2"
9.35363751056542e-86,-0.220344943564935,0.265,0.467,9.72030010097959e-82,"PM1","Nedd8"
1.72865796202505e-85,-0.286300742661208,0.192,0.359,1.79642135413643e-81,"PM1","Vps2"
2.55100402265618e-85,-0.354025298974805,0.27,0.455,2.6510033803443e-81,"PM1","Chmp1"
2.71984814186965e-85,-0.37823638400951,0.087,0.206,2.82646618903094e-81,"PM1","RASSF8"
3.23244140121913e-85,-0.235821522644364,0.201,0.374,3.35915310414692e-81,"PM1","CG34200"
3.80397197231979e-85,-0.411856464342116,0.617,0.819,3.95308767363472e-81,"PM1","AnxB9"
5.26186423604481e-85,-0.22668225943856,0.28,0.48,5.46812931409776e-81,"PM1","CD98hc"
6.1154620587724e-85,-0.193159125745614,0.14,0.286,6.35518817147628e-81,"PM1","Sgt1"
1.11148300563184e-84,-0.282771783095147,0.112,0.244,1.15505313945261e-80,"PM1","spt4"
1.35881594203307e-84,-0.796412517329501,0.048,0.143,1.41208152696076e-80,"PM1","Tre1"
1.48083401707638e-84,-2.69341158995551,0.011,0.077,1.53888271054578e-80,"PM1","wun2"
1.50740027070258e-84,-0.315930704528359,0.134,0.275,1.56649036131412e-80,"PM1","Srp14"
1.61875633833371e-84,-0.258973707718533,0.292,0.493,1.68221158679639e-80,"PM1","MESK2"
2.45418206192864e-84,-0.212528402661948,0.259,0.453,2.55038599875624e-80,"PM1","CG4038"
2.73910060656989e-84,-0.372044841387652,0.315,0.505,2.84647335034743e-80,"PM1","GstE6"
